No. Adq.,Título,Autor,Vol/Tomo/Año,Clasificación,ISBN/ISSN,Estado,Tipo,Colección,,,
59231,LOS ALTARES DE LA LLUVIA,"CHAVEZ, FLORENTINO",-2011,PQ7298.23 L651 A694,978-607-7619-27-7,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
59230,ALBUM DE NEGATIVOS,"AGUIRRE, LUIS ENRIQUE",-2011,PQ7298.23 N962nli v.10,978-968-9,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
59229,DESDE EL ECO: APROXIMACIONES A UNA REALIDAD DIFUSA,"HURTADO GALVEZ, JOSE MARTIN",-2005,PQ7298.23 L651 V422,978-607-7619-21-5,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
59228,EL TIEMPO ESTETA Y LAS FLORECILLAS DEL TREBOL,"CHAVEZ, FLORENTINO",-2008,PQ7298.23 N962nle V422,978-607-7619-20-8,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
59227,EL BOZAL II,"VEGA REAL, GABRIEL",-2007,PQ7258.2 B142 CQ,968-7377-66-6,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
59226,EL BOZAL I,"BARRON CEPEDA, MONICA",-2007,PQ7298.23 P364 v.20,978-968-9350-18-7,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
59224,CRECE LA SILENCIOSA ESPIGA,[sin autor],-2006,PQ7298.23 C169 C169u,978-607-9186-18-9,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
59223,CONCIENCIA,"BARRON CEPEDA, MONICA",-2008,PQ7298.23 L651 B142,978-607-7619-19-2,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
59222,BISONTE FUGITIVO,"GARIA OLIVA, TARSICIO",-2008,PQ7298.23 L651 Ch512,978-607-7619-16-1,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
59221,CONCIENCIA DE LAS RUINAS,"MUNGUIA, DIONICIO",-2009,PQ7298.23 N962nle A284,978-607-7619-222,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
59220,PATRIA AJENA,"CAZON, ROMINA",-2009,PQ7298.23 P364 v.15,970-771-005-5,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
59219,PUROS DE AMOR,"KIMBALL, LUIS",-2009,PQ7298.23 P187 v.23,978-607-7619-06-2,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
59218,"¿RECUERDAS? TOSER, FUMAR... ESTAR EN MEDIO DEL TIEMPO EN EL QUE SUCEDE ALGO","CALVO MEJIA, SIRAC",-2006,PQ7298.23 P187 v.14,978-968-9350-14-9,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
59217,CONVENIO CON EL DIABLO,"VEGA BAEZA, RITA",-2009,PQ7298.23 P187 v.13,978-968-9350-13-2,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
59216,DEL VERTIGO AL VACIO,"BARRIOS PINTADO, ANA FRANCINA",-2008,PQ7298.23 P187 v.10,978-968-9350-05-7,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
59215,DESDE EL ASOMBRO DE TU CUERPO,"ANDRADE URBINA, JOSE",-2006,PQ7298.23 P187 v.21,978-607-7619-01-7,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
59214,ESPEJOS DE ARENA Y SAL,"CARAPIA, RICARDO",-2006,PQ7298.23 P187 v.18,978-968-9350-19-4,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
59213,GEOGRAFIA ELEMENTAL: RECUENTO DE POEMAS 1976-1998,"ANAYA LARIOS, JOSE RODOLFO",-2007,PQ7298.23 P187 v.25,978-607-7619-11-6,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
59212,HERIDA DE INVIERNO,"AVENDAÑO, ULISES",-2006,PQ7298.23 P187 v.27,978-607-7619-13-0,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
59211,LA LUZ COMO DESENGAÑO,"HURTADO GALVEZ, JOSE MARTIN",-2009,PQ7298.23 P187 v.26,978-607-7619-15-4,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
59210,MATERIA URBANA,"LIRA, SILVIA",-2007,PQ7298.23 P187 v.1,97-771-008-X,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
59209,LA GUERRA FRIA,"WALTON, RICHARD J.",-1971,PQ7298.23 P187 v.28,978-607-7619-09-3,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
59208,"ADIOS, FAIRY OAK","GNONE, ELISABETTA",-2010,PQ7298.23 P187 v.22,978-607-7619-03-1,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
59207,EL BOLETIN DE LOS AÑOS INUTILES,"DELGADO, ANTONIO",-2013,PQ7298.23 P187 v.7,978-968-9350-03-3,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
59206,CARTAS A UN JOVEN INGENIERO,"JIMENEZ ESPRIU, JAVIER",-2004,PQ7298.23 P187 v.5,971-771-012-4,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
59205,LA ILIADA. LA ODISEA,HOMERO,,PQ7298.23 P187 v.15,978-968-9350-15-6,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
59204,EL PERFUME: HISTORIA DE UN ASESINO,"SUSKIND, PATRICK",-1985,PQ7298.23 P187 v.6,970-771-013-8,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
59203,LA INCREIBLE Y TRISTE HISTORIA DE LA CANDIDATA ERENDIRA Y DE SU ABUELA DESALMADA,"GARCIA MARQUEZ, GABRIEL",-2010,PQ7298.23 P187 v.24,978-607-7619-10-9,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
59202,EL TRIBUTO: UN CUENTO DE HADAS MODERNO,"BLACK, HOLLY",-2011,PQ7298.23 P187 v.11,978-968-9350-07-1,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
5906,LAS LEGIONES MALDITAS,"POSTEGUILLO, SANTIAGO",-2008,D840 W238,,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
58889,DE MUCHOS LIBROS,"PEREZ TAMAYO, RUY",-2011,PQ4907 .N65 G572,978-84-08-09446-3,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
58519,APARIENCIA DESNUDA: LA OBRA DE MARCEL DUCHAMP,"PAZ, OCTAVIO",-2008,PQ7297 D352,978-607-7912-27-9,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
58257,AJUSTE DE CUENTAS,[sin autor],,TA148 J61,978-968-19-1174-4,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
58250,LA SOMBRA DEL CAUDILLO,"GUZMAN, MARTIN LUIS",-2001,PA4030 .S3 H766i,978-968-15-1577-5,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
58236,LO QUE LOS MUERTOS SABEN,"LIPPMAN, LAURA",-2009,PT2640 S964,968-6005-17-X,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
58235,HASTA NO VERTE JESUS MIO,"PONIATOWSKA, ELENA",-1969,PQ8180.17 .A73 G216i,978-607-07-0506-9,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
58225,LOS DIAS ENMASCARADOS,"FUENTES, CARLOS",-1982,PQ7297 D352,978-607-7912-27-9,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
58224,EL VIENTO DISTANTE,"PACHECO, JOSE EMILIO",-2000,PS3568 B627,978-607-11-1086-2,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
58221,LOS DIAS TERRENALES,"REVUELTAS, JOSE",-1979,PQ6666 .O88 P857,978-84-666-2674-3,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
58205,LA CIUDAD DE LAS BESTIAS,"ALLENDE, ISABEL",-2005,PQ6041 P438,978-607-16-0726-3,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
58186,SE ESTA HACIENDO TARDE (FINAL EN LAGUNA),"AGUSTIN, JOSE",-2007,PQ7297 P348h 2008,978.968.411.503.3,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
58168,CANTAR DE CIEGOS,"FUENTES, CARLOS",-2008,PQ7298.12 A312,978-607-7912-23-1,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
58163,PAIS DE LAS SOMBRAS LARGAS,"RUESCH, HANS",-2000,PQ7297 G993s 2001,970-07-1862-x,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
57618,VISION DE LOS VENCIDOS: RELACIONES INDIGENAS DE LA CONQUISTA,[sin autor],-2007,PS3562 .I586 L766,978-84-666-4055-8,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
57616,SER COMO EL RIO QUE FLUYE,"COELHO, PAULO",-2006,F1210 P348 2004,978-968-16-5970-7,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
57612,EL ALQUIMISTA,"COELHO, PAULO",-2007,PQ7297 .P66 P797h,978-968-411-207-0,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
57609,ALEPH,"COELHO, PAULO",-2010,QP7297 F954d,978.968.411.083.0,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
57608,EL MANUSCRITO ENCONTRADO EN ACCRA,"COELHO, PAULO",-2012,PQ7298.26 .A25 P116 2000,978.968.411.472.2,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
57607,EL PRINCIPE MALDITO,"OBON, RAMON",-2008,PQ7297 .R383 R454,968-411-016-2,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
57606,EL LIBRO DE LAS VIRTUDES,[sin autor],-2011,PQ8098.1 .L54 A425ci,978-970-780-691-7,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
57605,LA EDAD DE LA PUNZADA,"VELASCO, XAVIER",-2012,PQ7298.1 .G85 A284,978-970-780-524-8,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
57603,"POESIA EN MOVIMIENTO: MEXICO, 1915-1966",[sin autor],-2014,PQ7297 F954c,978-970-812-059-3,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
57600,LA LLAMA DOBLE: AMOR Y EROTISMO,"PAZ, OCTAVIO",-2014,PQ4839 .U55 R921 2000,978-950-637-122-7,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
57599,LIBERTAD BAJO PALABRA: OBRA POETICA (1935-1957),"PAZ, OCTAVIO",-1995,F1230 V831 2007,978-970-32-4469-0,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
57586,LA CASA DE LA PRESENCIA,"PAZ, OCTAVIO",v1 (2014),PQ9698.13 .O3546 C672s,978-970-780-904-8,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
57581,LOBA / VERONICA MURGUIA,"MURGUIA, VERONICA",-2013,PQ9698.13 .O3546 C672a 2007,978-970-780-297-1,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
57578,EL SECRETO DE EVA / GUILLERMO FERRARA,"FERRARA, GUILLERMO",-2013,PQ9698.13 .O3546 C672al,978-607-310-575-0,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
57576,EL EJERCITO NEGRO: I. EL REINO DE LOS SUEÑOS SANTIAGO GRACIA-CLAIRAC,"GARCIA-CLAIRAC, SANTIAGO",v1 (2006),PQ9698.13 .O3546 C672ma,978-607-311-291-8,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
57570,EONA: EL ULTIMO OJO DEL DRAGON / ALISON GOODMAN ; TR. JORDI BOIXADOS,"GOODMAN, ALISON",-2011,PQ7298.425 .B66 O12,978-970-710-362-7,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
57560,EL EJERCITO NEGRO: I. EL REINO DE LOS SUEÑOS SANTIAGO GRACIA-CLAIRAC,"GARCIA-CLAIRAC, SANTIAGO",v2 (2006),PN6014 L697,978-84-666-4695-6,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
57555,EL EJERCITO NEGRO: I. EL REINO DE LOS SUEÑOS SANTIAGO GRACIA-CLAIRAC,"GARCIA-CLAIRAC, SANTIAGO",v3 (2006),PQ7298.32 .E8 V433,978-607-11-1698-7,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
57541,LOS JUEGOS DEL HAMBRE / SUZANNE COLLINS ; TR. PILAR RAMIREZ TELLO,"COLLINS, SUZANNE",-2009,PQ6652 B467ca,978-607-07-0954-8 (v.1),DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
57270,BITTERBLUE / KRISTIN CASHORE ; TR. MILA LOPEZ DIAZ-GUERRA,"CASHORE, KRISTIN",-2012,PQ7258 P745 2014,978-607-03-0578-8,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
57265,ORGULLO Y PREJUICIO,"AUSTEN, JANE",-2011,PQ7297 P348,978-607-9278-77-9,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
57264,"LA REPUBLICA. DIALOGOS (GORGIAS, FEDON Y EL BANQUETE) / PLATON",PLATON,-2012,PQ7297 P348,978-607-9278-77-9,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
57261,ROMEO Y JULIETA. MACHETH. HAMLET. OTELO. EL SUEÑO DE UNA NOCHE DE VERANO. LA FIERECILLA DOMADA. EL MERCADER DE VENECIA,"SHAKESPEARE, WILLIAM",-2012,PQ7297 P348l,978-968-16-4425-3,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
57255,ALMACEN DE ANTIGUEDADES. CANCION DE NAVIDAD Y OTROS CUENTOS. HISTORIA DE DOS CIUDADES / CHARLES DICKENS,"DICKENS, CHARLES",-2012,F1210 P348 2004,978-968-16-5970-7,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
57252,EL DERECHO DE LAS BESTIAS / ROLANDO DIEZ LAURINI,"DIEZ LAURINI, ROLANDO",-2010,PQ7297 P348h 2008,978.968.411.503.3,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
57250,CANTAR DE CIEGOS / CARLOS FUENTES,"FUENTES, CARLOS",-2008,PQ7297 P348 2014,978-607-16-1872-6,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
56973,EL ORO DE MOSCU / BILL VIDAL ; TR. DANIEL N. BENDOLILA,"VIDAL, BILL",-2010,PQ7298.23 .U64 M976,978-607-24-0694-0,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
56971,LA MUERTE DE ARTEMIO CRUZ / CARLOS FUENTES,"FUENTES, CARLOS",-2007,PQ7798.16 .E77 F374,978-607-11-2613-9,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
56970,EL PSICOANALISTA / JOHN KATZENBACH ; TR. LAURA PAREDES,"KATZANBACH, JOHN",-2003,PZ74.1 G216,978-607-24-0133-4,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
56965,EL GRIS / JAVIER PEREZ,"PEREZ, JAVIER",-2010,PR9619.3 G653,978-84-92819-90-4,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
56958,LOS CRIMENES DE LA LUNA LLENA / KIT WHITFIEL ; TR. JUAN CASTILLA PLAZA,WHITFIELD. KIT,-2006,PZ74.1 G216,978-607-24-0133-4,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
56957,LAS TRES LLAVES: EL SECRETO ESTA EN TU INTERIOR / PITA OJEDA,"OJEDA, PITA",-2011,PZ74.1 G216,978-607-24-0133-4,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
56952,DESDE QUE TE PERDI / JOSE FRANCISCO HERNANDEZ,"HERNANDEZ, JOSE FRANCISCO",-2011,PS3603 .O4558 C713j,978-607-400-190-7,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
56949,LA INGLESA Y EL TORERO / WENDY SALISBURY ; TR. GOTZONE PEREZ,"SALISBURY, WENDY",-2010,PZ7 .C26823 C338,978-84-9918-507-1,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
56941,LA CUARTA CORONA / CLAUDE CUENI : TR. IRENE SASLAVSKY,"CUENI, CLAUDE",-2010,PR4034 A932o 2011,978-607-300-32-9,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
56939,LA CASA DEL VIENTO / TATANIA HARDIE,"HARDIE, TATANIA",-2011,PA4285 .S6 P718,978-84-9794-146-4,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
56937,"FENRIS, EL ELFO / LAURA GALLEGO GARCIA","GALLEGO GARCIA, LAURA",-2011,PR2807 .A1 S527,978-84-9794-142-6,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
56936,POSDATA: TE AMO,"AHERN, CECELIA",-2009,PR4576 .A7 D548,978-84-9794-153-2,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
55753,RELATOS POR EL LIBRO / DIR. RAQUEL LOPEZ VARELA,[sin autor],-2007,PQ7297 .D54 D568,978-607-480-076-0,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
55743,LA MALDICION DEL MAESTRO / LAURA GALLEGO GARCIA,"GALLEGO GARCIA, LAURA",v2 (2006),PQ7297 F954ca,978-970-58-0089-4,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
55740,EL VALLE DE LOS LOBOS / LAURA GALLEGOS GARCIA,"GALLEGO GARCIA, LAURA",v1 (2006),PR6122 .I33 V648,978-84-66-4613-0,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
55735,"FURIA AZTECA / GARY JENNINGS, ROBERT GLEASON, JUNIUS PODRUG ; TR. ALBERTO COSCARELLI","JENNINGS, GARY",-2009,PQ7297 F954c,978-970-58-0008-5,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
55725,LA TREGUA / MARIO BENEDETTI,"BENEDETTI, MARIO",-2001,PS3561 .A8918 K19p,84-666-1068-5,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
55718,MEMORIAS DEL AGUILA Y DEL JAGUAR: LA CIUDAD DE LAS BESTIAS. EL BOSQUE DE LOS PIGNEOS,"ALLENDE, ISABEL",-2011,PS3603 .O4558 C713j,978-607-400-190-7,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
55716,LOS DIAS Y LOS AÑOS / LUIS GONZALEZ DE ALBA,"GONZALEZ DE ALBA, LUIS",-2008,PQ6707 .P455 P438,978-84-666-4533-1,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
55713,EL NIÑO CON LA PIJAMA DE RAYAS / JOHN BOYNE ; TR. GEMMA ROVIRA ORTEGA,"BOYNE, JOHN",-2008,PR6069 .W56 W591,978-84-666-3973-6,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
55711,YO NO VENGO A DECIR UN DISCURSO / GABRIEL GARCIA MARQUEZ,"GARCIA MARQUEZ, GABRIEL",-2010,PS3603 .O4558 C713j,978-607-400-190-7,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
55703,EL TREN PASA PRIMERO / ELENA PONIATWSKA,"PONIATOWSKA, ELENA",-2007,PQ7297 .O38 O39,978-607-408-487-3,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
55698,DE AMOR Y DE SOMBRA / ISABEL ALLENDE,"ALLENDE, ISABEL",-2004,PN6014 L697,978-84-666-4695-6,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
55696,EL REINO DEL DRAGON DE ORO / ISABEL ALLENDE,"ALLENDE, ISABEL",-2005,PQ7297 .H46 H557,978-607-480-160-6,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
55695,UN VIEJO QUE LEIA NOVELAS DE AMOR / LUIS SEPULVEDA,"SEPULVEDA, LUIS",-1989,PS3562 .I586 L766,978-84-666-4055-8,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
55685,GRINGO VIEJO / CARLOS FUENTES,"FUENTES, CARLOS",-2007,PR6069 .A483 S167,978-84-666-4312-2,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
55682,CIEN AÑOS DE SOLEDAD / GABRIEL GARCIA MARQUEZ,"GARCIA MARQUEZ, GABRIEL",-1986,PT2663 .U478 C965,978-84-666-2637-8,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
55675,EVA LUNA / ISABEL ALLENDE,"ALLENDE, ISABEL",-2003,PR6108 .A723 H262,978-607-11-1717-5,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
55669,20 MILLEGUAS DE VIAJE SUBMARINO / JULIO VERNE,"VERNE, JULIO",-2011,PQ6707 .A55 G166,978-607-24-0204-1,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
55668,EL PEREGRINO (DIARIO DE UN MAGO) / PAUL COELHO ; TR. CRISTINA HERNANDEZ ESCOBAR,"COELHO, PAULO",-2005,PR6101 .H47 A285,978-84-66-2406-0,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
55666,INSTINTO DE INEZ / CARLOS FUENTES,"FUENTES, CARLOS",-2001,PQ7298.425 .B66 O12,978-970-710-362-7,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
55658,EL DETECTIVE DE LA MAFIA / FERNANDO S. LLOBERA,"LLOBERA, FERNANDO S.",-2011,PQ7298.32 .E8 V433,978-607-11-1698-7,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
55657,OJALA ESTUVIERAS AQUI / FRANCESC MIRALLES,"MIRALLES, FRANCESC MIRALLES",-2009,PQ6175 R382,978-84-441-4089-6,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
55654,EL RENACIMIENTO EN ITALIA,"SYMONDS, JOHN ADDINGTON, 1840-1893",v2 (1957),PQ6707 .A55 G166m,978-607-24-0122-8,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
55650,EL RENACIMIENTO EN ITALIA,"SYMONDS, JOHN ADDINGTON, 1840-1893",v1 (1957),PQ6707 .A55 G166v,978-607-24-0121-1,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
55533,LINGUISTICA / MIGUEL LEON-PORTILLA,"LEON-PORTILLA, MIGUEL",-2010,PS3560 .E518 J545f,978-607-7-00092-1,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
55522,EL TAMBOR DE HOJALATA / GUNTER GRASS ; TR. CARLOS GERHARD,"GRASS, GUNTER",-2006,PQ8519 B462t,970-710-003-6,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
55511,LECTURAS DE QUERETARO,[*SIN AUTOR*],-1988,TA148 J61,978-968-19-1174-4,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
55506,LUCES DEL NORTE / PHILIP PULLMAN ; TR. ROSER BERDAGUE,"PULLMAN, PHILIP",-1999,PQ8098.1 .L54 A425ci,978-970-780-691-7,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
55504,LA TRAICION DE VERSALLES / MICHAEL RIOU JEAN ; TR. DOLORS GALLART,"RIOU, JEAN MICHAEL",-2008,PQ8098.1 .L54 A425me,978-607-310-398-5,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
55479,EL LADRON DE TUMBAS / ANTONIO CABANAS,"CABANAS, ANTONIO",-2009,PQ7298.17 .O43 G643,978-970-37-0820-8,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
55468,LA MUSA CRITICA: TEORIA Y CIENCIA LITERARIA DE ALFONSO REYES / SEBASTIAN PINEDA BUITRAGO,"PINEDA BUITRAGO, SEBASTIAN",-2007,PR6102 .O96 B792 2008,978-84-9838-079-8,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
55463,MEMORIAS DE UNA GEISHA/ ARTHUR GOLDEN ; TR. PILAR VAZQUEZ,"GOLDEN, ARTHUR",-2006,PQ8180.17 .A73 G216y,978-607-310--310-7,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
55458,EL CIRCULO DE LOS ESCRIBAS,"SARDOU, ROMAIN",-2008,PQ7297 .P66 P797tr,978-970-812-026-5,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
55455,HISTORIA DE LA LITERATURA LATINA,"MILLARES CARLO, AGUSTIN",-1976,PQ8098.1 .L54 A425de,84-9759-254-9,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
55453,EL ULTIMO RITUAL,"SIGURDARDOTTIR, YRSA",-2007,PQ8098.1 A425,968-5959-37-4,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
55449,LA LITERATURA ESPAÑOLA,"TORRI, JULIO",-1952,PQ8098.29 .S4 S479,9.79E+12,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
55442,EL PRINCIPE DE CASPIAN,"LEWIS, C.S.",-2005,PQ7297 F954g,978-970-58-0012-2,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
55437,EL EDITOR,"SIMPSON, THOMAS WILLIAM",-2002,PQ8179 G216,968-13-1574-X,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
55425,EL ARTE CONTEMPORANEO : EN LOS TIEMPOS DE WARHOL,"MASON, ANTONY",-2005,PQ8098.1 .L54 A425e 2003,84-9759-251-4,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
55424,LAS AVENTURAS DE TOM SAWYER,"TWAIN, MARK",-2005,PQ9698.13 .O3546 C672al,978-607-310-575-0,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
55420,DONDE HABITAN LOS ANGELES,"CELIS, CLAUDIA",-2006,QP7297 F954d,978.968.411.083.0,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
55418,LAS CRONICAS DE NARNIA,"LEWIS, C. S.",v6 (2005),PQ7297 .R383 R454,968-411-016-2,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
55416,LAS CRONICAS DE NARNIA,"LEWIS, C. S.",v5 (2005),PQ7297 .P66 P797h,978-968-411-207-0,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
55414,LAS CRONICAS DE NARNIA,"LEWIS, C. S.",v2 (2005),PQ7298.26 .A25 P116 2000,978.968.411.472.2,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
55411,LAS CRONICAS DE NARNIA,"LEWIS, C. S.",v3 (2005),F1210 P348 1999,978-968-16-5970-7,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
55405,MAS ALLA DEL CODIGO DA VINCI II : ENTRE DA VINCI Y LUCIFER,"CHANDELLE, RENE",-2005,PQ9698.13 .O3546 C672a 2007,978-970-780-297-1,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
55404,MAS ALLA DEL CODIGO DAVINCI : EL LIBRO QUE RESUELVE EL MISTERIO,"CHANDELLE, RENE",-2004,PQ9698.13 .O3546 C672s,978-970-780-904-8,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
55401,HISTORIA DE LA LITERATURA LATINOAMERICANA,"OSEGUERA DE CHAVEZ, EVA LYDIA",-2000,PQ1136 V531,978-968-5146-98-2,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
55400,LA TREGUA,"BENEDETTI, MARIO",-2006,PQ9698.13 .O3546 C672p,968-59-5783-5,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
55399,EL MUNDO DEL ODISEO,"FINLEY, M. I.",-1961,PQ4839 .U55 R921 2000,978-950-637-122-7,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
55398,LA PIEL DEL CIELO,"PONIATOWSKA, ELENA",-2006,PQ9698.13 .O3546 C672ma,978-607-311-291-8,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
55390,MUERDELE EL CORAZON,"CACHO, LYDIA, 1963-",-2006,PQ7298.1 .G85 A284,978-970-780-524-8,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
55385,ESPACIO CONTEMPORANEO EN EL CONTEXTO URBANO VERACRUZANO :,"HERNANDEZ BONILLA, MAURICIO",-2018,F1230 V831 2007,978-970-32-4469-0,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
55368,EUPALINOS O EL ARQUITECTO,"VALERY, PAUL",-2007,PQ7297 F954ii,978-970-58-0006-1,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
